Unnamed: 0,type,is_practice,click_values,payoff_matrix,cost_matrix,weights,weights_deviation,trial_num,selected_option,gross_earnings,net_earnings,click_cost,uncovered_values,experiment_type,trial_nudge,nudge_index,accepted_default,chose_nudge,og_baskets,actual_baskets,num_features,cost,reaction_time,trial_type,trial_index,time_elapsed,nudge_type,participant_id,points_click_cost,points_action_utility,points_metalevel_reward,source,n_prizes,n_baskets
34.0,mouselab,True,"[16, 16, 8, 8, 18, 18]","[[4, 2, 7, 6, 6], [4, 4, 5, 9, 6], [3, 6, 4, 6, 6], [7, 6, 6, 8, 6], [5, 6, 8, 7, 5]]","[[2, 2, 2, 2, 2], [2, 2, 2, 0, 2], [2, 2, 2, 2, 2], [2, 0, 2, 0, 2], [2, 2, 2, 2, 2]]","[2, 4, 6, 14, 4]",16.0,1,3,0.075,0.073,0.002,"[16, 8, 18]",default,control,3,False,True,5.0,5.0,5.0,2,34966.0,implicit-mouselab,4.0,399068.0,default,1,6.0,224.0,218.0,real,5,5
35.0,mouselab,True,"[2, 2]","[[4, 2], [7, 3]]","[[2, 2], [0, 2]]","[5, 25]",20.0,2,0,0.065,0.0643333333333333,0.0006666666666666,[2],default,control,0,False,True,2.0,2.0,2.0,2,8188.0,implicit-mouselab,5.0,410377.0,default,1,2.0,195.0,193.0,real,2,2
36.0,mouselab,False,"[4, 4, 7, 7]","[[5, 5], [4, 6], [4, 6], [8, 2], [7, 2]]","[[2, 2], [2, 2], [0, 2], [2, 0], [2, 2]]","[4, 1, 11, 11, 3]",20.0,3,0,0.059,0.0576666666666666,0.0013333333333333,"[4, 7]",default,control,0,False,True,2.0,2.0,5.0,2,6400.0,implicit-mouselab,7.0,419695.0,default,1,4.0,177.0,173.0,real,5,2
37.0,mouselab,False,"[0, 0, 2, 2]","[[6, 7, 7, 3, 4], [3, 6, 4, 3, 6], [9, 7, 7, 4, 5], [5, 6, 3, 5, 6], [3, 5, 4, 4, 5]]","[[0, 2, 0, 2, 2], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2]]","[14, 3, 3, 5, 5]",16.0,4,2,0.055,0.0536666666666666,0.0013333333333333,"[0, 2]",default,control,1,False,False,5.0,5.0,5.0,2,8118.0,implicit-mouselab,8.0,429160.0,default,1,4.0,166.0,162.0,real,5,5
38.0,mouselab,False,[],"[[6, 4, 5, 3, 4], [6, 2, 6, 6, 4], [4, 1, 3, 6, 9], [4, 7, 4, 5, 4], [3, 6, 5, 6, 2]]","[[2, 2, 2, 2, 2], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2]]","[3, 4, 8, 5, 10]",12.0,5,3,0.055,0.055,0.0,[],default,default,3,True,True,5.0,5.0,5.0,2,4845.0,implicit-mouselab,9.0,435664.0,default,1,0.0,166.0,166.0,real,5,5
39.0,mouselab,False,[],"[[7, 4], [7, 3], [4, 4], [5, 4], [6, 4]]","[[2, 2], [2, 2], [2, 2], [2, 2], [2, 2]]","[1, 22, 3, 2, 2]",32.0,6,0,0.065,0.065,0.0,[],default,default,0,True,True,2.0,2.0,5.0,2,11403.0,implicit-mouselab,10.0,448342.0,default,1,0.0,195.0,195.0,real,5,2
40.0,mouselab,False,"[6, 6, 8, 8]","[[8, 3, 4, 4, 4], [4, 1, 4, 6, 4]]","[[2, 2, 2, 2, 2], [2, 0, 2, 0, 2]]","[5, 25]",20.0,7,3,0.057,0.0556666666666666,0.0013333333333333,"[6, 8]",default,default,0,False,False,5.0,5.0,2.0,2,9851.0,implicit-mouselab,11.0,459497.0,default,1,4.0,170.0,166.0,real,2,5
41.0,mouselab,False,"[2, 2, 3, 3]","[[6, 6], [5, 5], [5, 4], [6, 6], [4, 7]]","[[2, 2], [0, 0], [2, 2], [2, 2], [2, 2]]","[6, 17, 3, 2, 2]",22.0,8,0,0.052,0.0506666666666666,0.0013333333333333,"[2, 3]",default,default,1,False,False,2.0,2.0,5.0,2,8713.0,implicit-mouselab,12.0,471869.0,default,1,4.0,156.0,152.0,real,5,2
42.0,mouselab,False,[],"[[5, 5, 3, 4, 5], [3, 4, 7, 4, 5]]","[[2, 2, 2, 2, 2], [2, 2, 2, 2, 2]]","[1, 29]",28.0,9,4,0.05,0.05,0.0,[],default,control,4,False,True,5.0,5.0,2.0,2,6376.0,implicit-mouselab,13.0,479667.0,default,1,0.0,150.0,150.0,real,2,5
43.0,mouselab,False,[],"[[5, 7, 2, 6, 2], [3, 6, 5, 5, 2]]","[[2, 2, 2, 2, 2], [2, 2, 2, 2, 2]]","[14, 16]",2.0,10,1,0.065,0.065,0.0,[],default,default,1,True,True,5.0,5.0,2.0,2,3330.0,implicit-mouselab,14.0,485235.0,default,1,0.0,194.0,194.0,real,2,5
44.0,mouselab,False,"[4, 4, 5, 5]","[[5, 4], [5, 4], [6, 8], [6, 6], [6, 7]]","[[2, 2], [2, 2], [0, 0], [2, 2], [2, 2]]","[5, 3, 17, 3, 2]",22.0,11,1,0.067,0.0656666666666666,0.0013333333333333,"[4, 5]",default,control,1,False,True,2.0,2.0,5.0,2,4710.0,implicit-mouselab,15.0,492395.0,default,1,4.0,200.0,196.0,real,5,2
45.0,mouselab,False,"[1, 1, 0, 0]","[[5, 6], [5, 7], [4, 4], [5, 5], [1, 3]]","[[0, 0], [2, 2], [2, 2], [2, 2], [2, 2]]","[12, 5, 6, 6, 1]",12.0,12,1,0.055,0.0536666666666666,0.0013333333333333,"[1, 0]",default,control,1,False,True,2.0,2.0,5.0,2,4821.0,implicit-mouselab,16.0,498675.0,default,1,4.0,164.0,160.0,real,5,2
46.0,mouselab,False,[],"[[2, 8, 5, 4, 5], [5, 4, 4, 7, 1], [4, 6, 7, 6, 6], [7, 6, 6, 7, 4], [4, 6, 8, 2, 4]]","[[2, 2, 2, 2, 2], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2]]","[1, 1, 12, 5, 11]",22.0,13,2,0.07,0.07,0.0,[],default,default,2,True,True,5.0,5.0,5.0,2,2578.0,implicit-mouselab,17.0,503457.0,default,1,0.0,211.0,211.0,real,5,5
47.0,mouselab,False,[],"[[6, 5], [4, 5]]","[[2, 2], [2, 2]]","[11, 19]",8.0,14,0,0.047,0.047,0.0,[],default,default,0,True,True,2.0,2.0,2.0,2,5385.0,implicit-mouselab,18.0,510106.0,default,1,0.0,142.0,142.0,real,2,2
48.0,mouselab,False,"[20, 20, 22, 22]","[[4, 3, 8, 5, 3], [5, 6, 8, 5, 5], [6, 7, 6, 5, 4], [6, 5, 5, 6, 4], [3, 6, 5, 7, 6]]","[[2, 2, 2, 2, 2], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2], [0, 2, 0, 2, 2]]","[7, 7, 5, 3, 8]",8.0,15,3,0.056,0.0546666666666666,0.0013333333333333,"[20, 22]",default,control,2,False,False,5.0,5.0,5.0,2,6286.0,implicit-mouselab,19.0,518490.0,default,1,4.0,169.0,165.0,real,5,5
49.0,mouselab,False,"[0, 0, 4, 4, 2, 2]","[[6, 4, 7, 5, 6], [1, 3, 5, 6, 2], [6, 4, 4, 6, 3], [7, 6, 4, 6, 7], [4, 8, 5, 4, 3]]","[[0, 2, 0, 2, 0], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2]]","[11, 5, 9, 2, 3]",16.0,16,2,0.054,0.052,0.002,"[0, 4, 2]",default,control,3,False,False,5.0,5.0,5.0,2,7409.0,implicit-mouselab,20.0,527165.0,default,1,6.0,161.0,155.0,real,5,5
50.0,mouselab,False,[],"[[6, 6], [3, 5]]","[[2, 2], [2, 2]]","[18, 12]",6.0,17,1,0.056,0.056,0.0,[],default,default,1,True,True,2.0,2.0,2.0,2,2304.0,implicit-mouselab,21.0,531531.0,default,1,0.0,168.0,168.0,real,2,2
51.0,mouselab,False,[],"[[5, 5], [3, 5]]","[[2, 2], [2, 2]]","[8, 22]",14.0,18,1,0.05,0.05,0.0,[],default,default,1,True,True,2.0,2.0,2.0,2,2289.0,implicit-mouselab,22.0,535185.0,default,1,0.0,150.0,150.0,real,2,2
52.0,mouselab,False,"[0, 0]","[[7, 5], [6, 7]]","[[0, 2], [2, 2]]","[27, 3]",24.0,19,0,0.069,0.0683333333333333,0.0006666666666666,[0],default,control,0,False,True,2.0,2.0,2.0,2,3636.0,implicit-mouselab,23.0,539920.0,default,1,2.0,207.0,205.0,real,2,2
53.0,mouselab,False,[],"[[4, 5, 5, 4, 7], [3, 5, 3, 6, 5]]","[[2, 2, 2, 2, 2], [2, 2, 2, 2, 2]]","[17, 13]",4.0,20,4,0.061,0.061,0.0,[],default,default,4,True,True,5.0,5.0,2.0,2,3484.0,implicit-mouselab,24.0,544920.0,default,1,0.0,184.0,184.0,real,2,5
54.0,mouselab,False,[],"[[4, 8], [6, 6]]","[[2, 2], [2, 2]]","[23, 7]",16.0,21,1,0.075,0.075,0.0,[],default,default,1,True,True,2.0,2.0,2.0,2,2342.0,implicit-mouselab,25.0,548852.0,default,1,0.0,226.0,226.0,real,2,2
55.0,mouselab,False,"[20, 20, 22, 22]","[[5, 4, 7, 6, 2], [1, 5, 5, 8, 2], [4, 5, 4, 4, 7], [1, 5, 6, 6, 7], [3, 3, 9, 5, 5]]","[[2, 2, 2, 2, 2], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2], [0, 2, 0, 2, 2]]","[1, 4, 3, 7, 15]",20.0,22,2,0.072,0.0706666666666666,0.0013333333333333,"[20, 22]",default,default,2,False,True,5.0,5.0,5.0,2,5867.0,implicit-mouselab,26.0,556387.0,default,1,4.0,216.0,212.0,real,5,5
56.0,mouselab,False,"[0, 0, 2, 2, 3, 3]","[[6, 3, 5, 8, 10], [2, 5, 4, 5, 6], [5, 4, 2, 4, 9], [5, 7, 7, 10, 5], [4, 2, 6, 2, 4]]","[[0, 2, 0, 0, 2], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2]]","[16, 7, 2, 2, 3]",22.0,23,3,0.066,0.064,0.002,"[0, 2, 3]",default,control,4,False,False,5.0,5.0,5.0,2,6238.0,implicit-mouselab,27.0,564070.0,default,1,6.0,197.0,191.0,real,5,5
57.0,mouselab,False,[],"[[7, 8, 6, 3, 8], [2, 3, 4, 6, 3]]","[[2, 2, 2, 2, 2], [2, 2, 2, 2, 2]]","[11, 19]",8.0,24,2,0.047,0.047,0.0,[],default,control,4,False,False,5.0,5.0,2.0,2,2777.0,implicit-mouselab,28.0,568717.0,default,1,0.0,142.0,142.0,real,2,5
58.0,mouselab,False,[],"[[4, 3, 7, 9, 6], [4, 4, 5, 5, 3], [4, 4, 4, 4, 7], [3, 4, 5, 6, 4], [6, 4, 1, 2, 5]]","[[2, 2, 2, 2, 2], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2]]","[8, 2, 12, 7, 1]",18.0,25,3,0.058,0.058,0.0,[],default,default,3,True,True,5.0,5.0,5.0,2,1935.0,implicit-mouselab,29.0,572191.0,default,1,0.0,174.0,174.0,real,5,5
59.0,mouselab,False,[],"[[7, 2, 7, 2, 2], [5, 6, 6, 6, 8]]","[[2, 2, 2, 2, 2], [2, 2, 2, 2, 2]]","[14, 16]",2.0,26,1,0.041,0.041,0.0,[],default,control,2,False,False,5.0,5.0,2.0,2,2788.0,implicit-mouselab,30.0,576408.0,default,1,0.0,124.0,124.0,real,2,5
60.0,mouselab,False,"[0, 0, 1, 1]","[[1, 4], [2, 6]]","[[0, 0], [2, 2]]","[27, 3]",24.0,27,1,0.042,0.0406666666666666,0.0013333333333333,"[0, 1]",default,control,1,False,True,2.0,2.0,2.0,2,3811.0,implicit-mouselab,31.0,581690.0,default,1,4.0,126.0,122.0,real,2,2
61.0,mouselab,False,"[0, 0, 1, 1]","[[5, 2], [7, 5]]","[[0, 0], [2, 2]]","[29, 1]",28.0,28,0,0.051,0.0496666666666666,0.0013333333333333,"[0, 1]",default,control,0,False,True,2.0,2.0,2.0,2,3883.0,implicit-mouselab,32.0,586982.0,default,1,4.0,152.0,148.0,real,2,2
62.0,mouselab,False,[],"[[5, 6], [5, 5], [5, 6], [4, 1], [4, 4]]","[[2, 2], [2, 2], [2, 2], [2, 2], [2, 2]]","[3, 5, 9, 8, 5]",10.0,29,1,0.042,0.042,0.0,[],default,control,0,False,False,2.0,2.0,5.0,2,2757.0,implicit-mouselab,33.0,591404.0,default,1,0.0,125.0,125.0,real,5,2
63.0,mouselab,False,[],"[[4, 8, 5, 5, 6], [6, 5, 6, 4, 2]]","[[2, 2, 2, 2, 2], [2, 2, 2, 2, 2]]","[16, 14]",2.0,30,0,0.049,0.049,0.0,[],default,control,1,False,False,5.0,5.0,2.0,2,3262.0,implicit-mouselab,34.0,595987.0,default,1,0.0,148.0,148.0,real,2,5
64.0,mouselab,False,[],"[[5, 4], [3, 3], [8, 3], [5, 3], [3, 0]]","[[2, 2], [2, 2], [2, 2], [2, 2], [2, 2]]","[11, 4, 7, 4, 4]",12.0,31,0,0.052,0.052,0.0,[],default,default,0,True,True,2.0,2.0,5.0,2,2650.0,implicit-mouselab,35.0,601839.0,default,1,0.0,155.0,155.0,real,5,2
65.0,mouselab,False,"[3, 3, 2, 2]","[[4, 5], [5, 5], [7, 5], [8, 6], [8, 3]]","[[2, 2], [0, 0], [2, 2], [2, 2], [2, 2]]","[2, 15, 4, 4, 5]",18.0,32,1,0.048,0.0466666666666666,0.0013333333333333,"[3, 2]",default,default,0,False,False,2.0,2.0,5.0,2,5370.0,implicit-mouselab,36.0,608274.0,default,1,4.0,144.0,140.0,real,5,2
66.0,mouselab,False,[],"[[3, 5, 6, 4, 6], [6, 4, 3, 4, 5]]","[[2, 2, 2, 2, 2], [2, 2, 2, 2, 2]]","[18, 12]",6.0,33,4,0.056,0.056,0.0,[],default,default,4,True,True,5.0,5.0,2.0,2,2013.0,implicit-mouselab,37.0,611405.0,default,1,0.0,168.0,168.0,real,2,5
67.0,mouselab,False,"[0, 0]","[[5, 6], [5, 5]]","[[0, 2], [2, 2]]","[26, 4]",22.0,34,0,0.05,0.0493333333333333,0.0006666666666666,[0],default,control,1,False,False,2.0,2.0,2.0,2,4548.0,implicit-mouselab,38.0,617292.0,default,1,2.0,150.0,148.0,real,2,2
68.0,mouselab,True,"[2, 2, 6, 6, 7, 7, 3, 3]","[[5, 6], [7, 5], [5, 4], [4, 5], [4, 3]]","[[2, 2], [0, 0], [2, 2], [0, 0], [2, 2]]","[4, 10, 1, 14, 1]",24.0,1,0,0.052,0.0493333333333333,0.0026666666666666,"[2, 6, 7, 3]",default,control,0,False,True,2.0,2.0,5.0,2,23670.0,implicit-mouselab,4.0,262258.0,default,5,8.0,155.0,147.0,real,5,2
69.0,mouselab,True,"[8, 8, 1, 1, 5, 5, 9, 9]","[[5, 3, 3, 6, 4], [4, 4, 7, 4, 6]]","[[2, 0, 2, 2, 2], [0, 2, 2, 0, 0]]","[9, 21]",12.0,2,4,0.054,0.0513333333333333,0.0026666666666666,"[8, 1, 5, 9]",default,control,3,False,False,5.0,5.0,2.0,2,18550.0,implicit-mouselab,5.0,282113.0,default,5,8.0,162.0,154.0,real,2,5
70.0,mouselab,False,"[0, 0, 1, 1]","[[5, 7], [2, 7]]","[[0, 0], [2, 2]]","[18, 12]",6.0,3,1,0.07,0.0686666666666666,0.0013333333333333,"[0, 1]",default,control,1,False,True,2.0,2.0,2.0,2,7752.0,implicit-mouselab,7.0,293858.0,default,5,4.0,210.0,206.0,real,2,2
71.0,mouselab,False,"[5, 5, 6, 6, 8, 8, 9, 9]","[[4, 5, 4, 6, 5], [6, 4, 7, 4, 4], [3, 4, 4, 4, 4], [6, 4, 6, 1, 4], [7, 3, 4, 4, 5]]","[[2, 2, 2, 2, 2], [0, 0, 2, 0, 0], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2]]","[2, 14, 9, 2, 3]",22.0,4,0,0.051,0.0483333333333333,0.0026666666666666,"[5, 6, 8, 9]",default,control,0,False,True,5.0,5.0,5.0,2,14822.0,implicit-mouselab,8.0,311097.0,default,5,8.0,152.0,144.0,real,5,5
72.0,mouselab,False,"[5, 5, 6, 6, 8, 8, 9, 9, 7, 7]","[[3, 5, 7, 9, 3], [7, 4, 3, 5, 6], [4, 6, 5, 4, 5], [5, 7, 5, 5, 6], [4, 4, 6, 6, 6]]","[[2, 2, 2, 2, 2], [0, 0, 0, 0, 0], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2]]","[7, 11, 2, 3, 7]",14.0,5,0,0.05,0.0466666666666666,0.0033333333333333,"[5, 6, 8, 9, 7]",default,default,3,False,False,5.0,5.0,5.0,2,14024.0,implicit-mouselab,9.0,328594.0,default,5,10.0,149.0,139.0,real,5,5
73.0,mouselab,False,[],"[[4, 1], [6, 4]]","[[2, 2], [2, 2]]","[20, 10]",10.0,6,0,0.047,0.047,0.0,[],default,default,0,True,True,2.0,2.0,2.0,2,3639.0,implicit-mouselab,10.0,335953.0,default,5,0.0,140.0,140.0,real,2,2
74.0,mouselab,False,"[15, 15, 17, 17, 19, 19, 16, 16, 22, 22, 20, 20]","[[5, 3, 3, 6, 7], [3, 5, 4, 5, 4], [4, 3, 6, 3, 5], [5, 2, 5, 6, 3], [8, 2, 4, 8, 5]]","[[2, 2, 2, 2, 2], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2], [0, 0, 0, 2, 0], [0, 2, 0, 2, 2]]","[1, 3, 1, 16, 9]",26.0,7,0,0.057,0.053,0.004,"[15, 17, 19, 16, 22, 20]",default,control,3,False,False,5.0,5.0,5.0,2,13255.0,implicit-mouselab,11.0,351706.0,default,5,12.0,170.0,158.0,real,5,5
75.0,mouselab,False,"[2, 2, 3, 3]","[[6, 5], [2, 4]]","[[2, 2], [0, 0]]","[3, 27]",24.0,8,1,0.041,0.0396666666666666,0.0013333333333333,"[2, 3]",default,default,1,False,True,2.0,2.0,2.0,2,5887.0,implicit-mouselab,12.0,358843.0,default,5,4.0,123.0,119.0,real,2,2
76.0,mouselab,False,"[8, 8, 9, 9]","[[6, 3], [6, 2], [5, 4], [6, 6], [7, 4]]","[[2, 2], [2, 2], [2, 2], [2, 2], [0, 0]]","[3, 5, 5, 7, 10]",10.0,9,0,0.062,0.0606666666666666,0.0013333333333333,"[8, 9]",default,control,0,False,True,2.0,2.0,5.0,2,5629.0,implicit-mouselab,13.0,366121.0,default,5,4.0,185.0,181.0,real,5,2
