is_practice,cost,payoff_matrix,weights,trial_num,trial_nudge,nudge_index,nudge_type,og_baskets,shown_baskets,participant_id,first_selected_option,selected_option,gross_earnings,net_earnings,chose_nudge,uncovered_values,nudge,cot,source,fs,Unnamed: 0,type,click_values,cost_matrix,weights_deviation,click_cost,experiment_type,num_features,reaction_time,random_data,points_click_cost,points_action_utility,points_metalevel_reward,finish_trys,trial_type,trial_index,time_elapsed,n_prizes,n_baskets,idiosyncracy,n_uncovered,value_first_option_selected,value_final_option_selected,optimal_option
True,2,"[[3, 5, 4, 6, 8], [1, 5, 5, 2, 6]]","[18, 12]",1,control,-1,supersize,5,5,368,2,2,0.0439999995599999,0.04266666624,False,"[2, 7]",suggestion,True,gemini/gemini-1.5-pro,0,,,,,,,,,,,,,,,,,,2,5,6.0,2,132,132,4
True,2,"[[7, 3, 4, 5, 3], [6, 3, 3, 6, 6], [5, 6, 0, 2, 5], [7, 5, 7, 9, 5], [5, 3, 7, 8, 3]]","[2, 2, 7, 3, 16]",2,control,-1,supersize,5,5,368,4,4,0.03866666628,0.03733333296,False,"[24, 14]",suggestion,True,gemini/gemini-1.5-pro,0,,,,,,,,,,,,,,,,,,5,5,22.0,2,116,116,3
False,2,"[[3, 6, 3, 1, 3, 4], [6, 3, 2, 4, 8, 8]]","[5, 25]",3,post-supersize,5,supersize,5,6,368,4,4,0.07166666595,0.06833333265,False,"[6, 7, 8, 9, 10]",suggestion,True,gemini/gemini-1.5-pro,0,,,,,,,,,,,,,,,,,,2,6,20.0,5,215,215,5
False,2,"[[5, 2, 3, 5, 4, 6], [7, 2, 3, 7, 6, 4]]","[1, 29]",4,post-supersize,5,supersize,5,6,368,3,3,0.06933333264,0.0659999993399999,False,"[6, 7, 8, 9, 10]",suggestion,True,gemini/gemini-1.5-pro,0,,,,,,,,,,,,,,,,,,2,6,28.0,5,208,208,0
False,2,"[[5, 5, 10, 4, 4], [4, 6, 6, 5, 6], [4, 4, 5, 8, 3], [6, 4, 6, 3, 3], [5, 6, 7, 6, 7]]","[1, 11, 11, 3, 4]",5,control,-1,supersize,5,5,368,2,2,0.05899999941,0.05766666609,False,"[7, 12]",suggestion,True,gemini/gemini-1.5-pro,0,,,,,,,,,,,,,,,,,,5,5,20.0,2,177,177,3
False,2,"[[5, 5, 7, 2, 8], [5, 3, 7, 7, 5]]","[7, 23]",6,control,-1,supersize,5,5,368,2,2,0.0699999992999999,0.06866666598,False,"[6, 7]",suggestion,True,gemini/gemini-1.5-pro,0,,,,,,,,,,,,,,,,,,2,5,16.0,2,210,210,2
False,2,"[[3, 5, 5, 6, 5, 6], [6, 7, 7, 7, 5, 5]]","[4, 26]",7,pre-supersize,3,supersize,5,6,368,3,3,0.06866666598,0.0679999993199999,True,[3],suggestion,True,gemini/gemini-1.5-pro,0,,,,,,,,,,,,,,,,,,2,6,22.0,1,206,206,3
False,2,"[[2, 5, 4, 2, 6, 3], [3, 7, 2, 6, 8, 6], [6, 8, 3, 7, 6, 2], [5, 6, 5, 6, 2, 6], [2, 4, 6, 6, 6, 6]]","[2, 5, 13, 7, 3]",8,pre-supersize,2,supersize,5,6,368,2,2,0.0366666663,0.0359999996399999,True,[14],suggestion,True,gemini/gemini-1.5-pro,0,,,,,,,,,,,,,,,,,,5,6,16.0,1,110,110,1
False,2,"[[4, 5, 4, 4, 4, 4], [5, 7, 6, 5, 2, 5]]","[26, 4]",9,pre-supersize,1,supersize,5,6,368,1,1,0.05266666614,0.0519999994799999,True,[1],suggestion,True,gemini/gemini-1.5-pro,0,,,,,,,,,,,,,,,,,,2,6,22.0,1,158,158,1
False,2,"[[5, 6, 6, 6, 3, 5], [3, 7, 5, 5, 5, 8], [4, 6, 5, 6, 6, 3], [4, 4, 1, 3, 4, 6], [8, 7, 4, 8, 7, 5]]","[1, 14, 3, 7, 5]",10,pre-supersize,1,supersize,5,6,368,1,1,0.06166666605,0.05899999941,True,"[1, 13, 19, 25]",suggestion,True,gemini/gemini-1.5-pro,0,,,,,,,,,,,,,,,,,,5,6,18.0,4,185,185,5
False,2,"[[4, 3, 4, 7, 4, 8], [7, 5, 8, 3, 6, 4]]","[15, 15]",11,post-supersize,5,supersize,5,6,368,0,5,0.0599999994,0.05799999942,True,"[0, 6, 11]",suggestion,True,gemini/gemini-1.5-pro,0,,,,,,,,,,,,,,,,,,2,6,0.0,3,165,180,2
